ID,Size,Predicted,Actual
0,126,0.0,NO
1,22,0.0,NO
2,75,0.0,NO
3,131,0.0,NO
4,223,0.0,NO
5,40,0.0,NO
6,381,0.01,NO
7,46,0.0,NO
8,26,0.0,NO
9,66,0.0,NO
10,95,0.0,NO
11,33,0.0,NO
12,103,0.0,NO
13,219,0.01,NO
14,328,0.0,NO
15,59,0.09770035193564605,NO
16,376,0.2226904761904762,NO
17,33,0.0,NO
18,36,0.0,NO
19,44,0.0,NO
20,70,0.0,NO
21,69,0.4245765357902911,NO
22,31,0.0,NO
23,27,0.0,NO
24,33,0.0,NO
25,27,0.0,NO
26,27,0.0,NO
27,40,0.0,NO
28,60,0.12893925780961382,NO
29,69,0.4245765357902911,NO
30,85,0.12479625012507917,NO
31,85,0.12479625012507917,NO
32,86,0.06097798129802776,NO
33,50,0.0,NO
34,125,0.06523792841918614,NO
35,151,0.0,NO
36,242,0.2254047619047619,NO
37,47,0.0,NO
38,72,0.05022595586146118,NO
39,51,0.0,NO
40,51,0.0,NO
41,106,0.0,NO
42,87,0.0,NO
43,80,0.0,NO
44,76,0.0,NO
45,41,0.0,NO
46,63,0.0,NO
47,55,0.0,NO
48,106,0.0,NO
49,72,0.05022595586146118,NO
50,86,0.06097798129802776,NO
51,55,0.0,NO
52,135,0.0,NO
53,63,0.0,NO
54,412,0.0,NO
55,533,0.10916666666666665,NO
56,67,0.0,NO
57,50,0.0,NO
58,39,0.0,NO
59,88,0.0,NO
60,37,0.0,NO
61,74,0.10117519816784523,NO
62,79,0.0,NO
63,321,0.0,NO
64,631,0.04,NO
65,140,0.0,NO
66,318,0.34633333333333327,NO
67,356,0.065,NO
68,187,0.11067161901565924,NO
69,142,0.0,NO
70,186,0.0,NO
71,138,0.0,NO
72,36,0.0,NO
73,37,0.0,NO
74,120,0.05382631560483502,NO
75,139,0.0,NO
76,852,0.0,NO
77,33,0.0,NO
78,43,0.0,NO
79,99,0.0,NO
80,288,0.0,NO
81,131,0.0,YES
82,146,0.18436262400123618,NO
83,204,0.0,NO
84,150,0.0,NO
85,38,0.0,NO
86,43,0.0,NO
87,47,0.0,NO
88,32,0.0,NO
89,93,0.0,NO
90,93,0.0,NO
91,282,0.0,NO
92,251,0.0,NO
93,251,0.0,NO
94,130,0.0,NO
95,53,0.0,NO
96,125,0.06523792841918614,NO
97,50,0.0,NO
98,106,0.0,NO
99,34,0.0,NO
100,66,0.0,NO
101,40,0.0,NO
102,140,0.0,NO
103,84,0.0,NO
104,39,0.0,NO
105,34,0.0,NO
106,38,0.0,NO
107,149,0.0,NO
108,761,0.009333333333333332,YES
109,46,0.0,NO
110,204,0.0,NO
111,153,0.0,NO
112,57,0.0,NO
113,57,0.0,NO
114,1305,0.531,YES
115,170,0.2502238872238872,YES
116,339,0.04,YES
117,40,0.0,NO
118,90,0.0,YES
119,100,0.0,NO
120,84,0.0,NO
121,702,0.7,NO
122,392,0.09516666666666668,YES
123,165,0.0,NO
124,159,0.17898881673881678,NO
125,332,0.04,YES
126,185,0.33317205017205015,NO
127,68,0.025286455912097452,NO
128,277,0.04,NO
129,476,0.025,YES
130,101,0.0,NO
131,63,0.06,NO
132,79,0.0,NO
133,79,0.0,NO
134,149,0.0,NO
135,124,0.08893104118104118,YES
136,119,0.0,NO
137,1779,0.66,YES
138,670,0.76,YES
139,81,0.0,NO
140,64,0.0,NO
141,119,0.0,NO
142,46,0.29724999999999996,NO
143,81,0.0,NO
144,152,0.016666666666666666,NO
145,72,0.0,NO
146,88,0.01,NO
147,94,0.0,NO
148,83,0.0,NO
149,74,0.0,NO
150,62,0.2824523809523809,NO
151,85,0.0,NO
152,82,0.0,NO
153,75,0.0,NO
154,200,0.14,NO
155,81,0.0,NO
156,49,0.0,NO
157,64,0.0,NO
158,87,0.0,NO
159,79,0.0,YES
160,61,0.0,NO
161,101,0.0,NO
162,435,0.02,YES
163,284,0.01,YES
164,103,0.0,NO
165,29,0.0,NO
166,215,0.04750000000000001,YES
167,71,0.0018329296241778308,YES
168,36,0.0,NO
169,82,0.0,NO
170,51,0.0,NO
171,173,0.10116386391386398,YES
172,98,0.0,NO
173,174,0.0,NO
174,1302,0.21714285714285717,YES
175,61,0.0,NO
176,47,0.0,NO
177,192,0.0,NO
178,414,0.12,YES
179,104,0.0,NO
180,1157,0.29,YES
181,323,0.6673650793650794,YES
182,852,0.76,YES
