ID,Size,Predicted,Actual
0,126,0.0,False
1,22,0.0,False
2,75,0.0,False
3,131,0.7624912923652571,False
4,223,0.0,False
5,40,0.0,False
6,381,0.650935178121685,True
7,46,0.0,False
8,26,0.0,False
9,66,0.0,False
10,95,0.0,False
11,33,0.0,False
12,103,0.33878176243613206,False
13,219,0.0,False
14,328,0.0,True
15,59,0.3059571811872368,False
16,376,0.5095867205041129,False
17,33,0.0,False
18,36,0.0,False
19,44,0.0,False
20,70,0.0,False
21,69,0.8002371613339881,False
22,31,0.0,False
23,27,0.0,False
24,33,0.0,False
25,27,0.0,False
26,27,0.0,False
27,40,0.0,False
28,60,0.6193802799391525,False
29,69,0.8002371613339881,False
30,85,0.4086972587994667,False
31,85,0.4086972587994667,False
32,86,0.3015734525030026,True
33,50,0.0,True
34,125,0.2692850115312197,False
35,151,0.0,False
36,242,0.7727215350868604,False
37,47,0.0,False
38,72,0.21210931939929745,False
39,51,0.0,False
40,51,0.0,False
41,106,0.0,True
42,87,0.0,False
43,80,0.0,False
44,76,0.0,False
45,41,0.0,False
46,63,0.0,False
47,55,0.0,False
48,106,0.0,False
49,72,0.21210931939929745,False
50,86,0.3015734525030026,False
51,55,0.0,False
52,135,0.0,False
53,63,0.0,False
54,412,0.0,False
55,533,0.0,False
56,71,0.01,False
57,50,0.033852769177846576,False
58,39,0.038297213622291014,False
59,106,0.0,False
60,37,0.10546983266991007,False
61,92,0.01,False
62,79,0.07,False
63,321,0.51,False
64,631,0.49,False
65,140,0.35,False
66,318,0.51,False
67,356,0.46,False
68,187,0.67,False
69,143,0.35,False
70,186,0.69,False
71,138,0.34,False
72,36,0.09316214036221775,False
73,37,0.10546983266991007,False
74,120,0.27,False
75,139,0.34,False
76,885,0.45,False
77,33,0.07316214036221776,False
78,43,0.0,False
79,99,0.0,False
80,288,0.56,False
81,126,0.0,True
82,146,0.5170607658467568,False
83,204,0.0,False
84,150,0.0,False
85,38,0.0,False
86,43,0.0,False
87,47,0.0,False
88,32,0.0,False
89,93,0.0,False
90,93,0.0,False
91,282,0.0,True
92,251,0.0,False
93,251,0.0,False
94,130,0.2777357335636603,False
95,53,0.47057744927286876,False
96,125,0.2692850115312197,False
97,50,0.0,False
98,106,0.0,False
99,34,0.0,False
100,66,0.0,False
101,40,0.0,False
102,140,0.0,False
103,84,0.0,False
104,39,0.0,False
105,34,0.0,False
106,38,0.0,False
107,149,0.0,False
108,761,0.7805443400314998,False
109,46,0.0,False
110,204,0.0,False
111,153,0.0,False
112,57,0.0,False
113,320,0.72,False
114,1553,0.71,True
115,174,0.0,True
116,432,0.75,False
117,40,0.0,False
118,92,0.3928323594265171,False
119,112,0.0,False
120,86,0.97,False
121,798,0.81,True
122,396,0.02670634920634921,True
123,177,0.0,False
124,167,0.0,True
125,351,1.0,False
126,205,0.0,False
127,68,0.2739626829624795,False
128,277,0.04,False
129,476,0.0,True
130,101,0.0,False
131,29,0.0,False
132,68,0.2739626829624795,False
133,79,0.0,False
134,70,0.0,False
135,79,0.0,False
136,186,0.0,False
137,124,0.3419731585903961,True
138,130,0.2,False
139,2596,0.7,True
140,682,0.53,True
141,47,0.0,False
142,81,0.24026227258852298,False
143,64,0.0,True
144,124,0.17,True
145,46,0.0,True
146,89,0.48,True
147,152,0.0,True
148,72,0.21210931939929745,True
149,88,0.01765432098765432,True
150,94,0.26104663458815164,True
151,83,0.0,True
152,75,0.0,True
153,74,0.34342601716565496,True
154,60,0.08,True
155,122,0.03,True
156,157,0.0,True
157,84,0.145,True
158,82,0.0,True
159,75,0.0,True
160,200,0.01,True
161,81,0.24026227258852298,True
162,49,0.0,False
163,64,0.0,True
164,90,1.0,False
165,79,0.0,True
166,72,0.03,True
167,350,0.48,True
168,584,1.0,True
169,115,0.005151515151515152,False
170,89,0.0,False
171,59,0.34924936174936166,False
172,123,0.0,False
173,293,0.0,False
174,120,0.0,False
175,63,0.0,False
176,29,0.0,False
177,214,0.29,False
178,71,0.0,True
179,36,0.0,False
180,82,0.2,False
181,51,0.0,False
182,173,0.4087446872381161,True
183,98,0.0,False
184,174,0.0,False
185,1455,0.85,True
186,61,0.0,False
187,47,0.0,False
188,192,0.30864163262830535,False
189,187,0.04,True
190,479,0.67,True
191,104,0.0,False
192,1181,0.14,True
193,958,0.84,True
194,856,0.7955095660599326,True
195,422,0.48,True
196,45,0.0,True
197,978,0.81,True
198,136,0.08,True
199,61,0.0,True
200,287,0.25,True
201,44,0.0,False
202,485,0.44,False
203,225,0.01,False
204,112,0.5643584357693018,False
205,144,0.0,True
206,135,0.0,False
207,325,0.55,True
208,128,0.32,False
209,68,0.2739626829624795,False
210,217,0.17,True
211,127,0.09,False
212,122,0.0,False
213,48,0.5071190054185106,False
214,266,0.66,False
215,83,0.0,False
216,83,0.0,False
217,98,0.0,False
218,249,0.34,True
219,622,0.75,True
220,50,0.0,True
221,169,1.0,False
222,1048,0.9,True
223,147,0.0,False
224,189,0.02,False
