ID,Size,Predicted,Actual
0,126,0.0,False
1,22,0.0,False
2,75,0.0,False
3,131,0.0,False
4,223,0.0,False
5,40,0.0,False
6,381,0.0,False
7,46,0.0,False
8,26,0.0,False
9,66,0.0,False
10,95,0.0,False
11,33,0.0,False
12,103,0.0,False
13,219,0.0,False
14,328,0.0,False
15,59,0.3861108839566158,False
16,376,0.7770757825765566,False
17,33,0.0,False
18,36,0.0,False
19,44,0.0,False
20,70,0.0,False
21,69,0.8367812821906615,False
22,31,0.0,False
23,27,0.0,False
24,33,0.0,False
25,27,0.0,False
26,27,0.0,False
27,40,0.0,False
28,60,0.3843180521230509,False
29,69,0.8367812821906615,False
30,85,0.4730979390357397,False
31,85,0.4730979390357397,False
32,86,0.35897694349754794,False
33,50,0.0,False
34,125,0.3208175543395523,False
35,151,0.0,False
36,242,0.4043219951036011,False
37,47,0.0,False
38,72,0.3540820649042709,False
39,51,0.0,False
40,51,0.0,False
41,106,0.0,False
42,87,0.0,False
43,80,0.0,False
44,76,0.0,False
45,41,0.0,False
46,63,0.0,False
47,55,0.0,False
48,106,0.0,False
49,72,0.3540820649042709,False
50,86,0.35897694349754794,False
51,55,0.0,False
52,135,0.0,False
53,63,0.0,False
54,412,0.0,False
55,533,0.0,False
56,67,0.0,False
57,50,0.0,False
58,39,0.0,False
59,88,0.6707636262082581,False
60,37,0.48457819719759615,False
61,74,0.6210719896288783,False
62,79,0.0,False
63,321,0.0,False
64,631,0.0,False
65,140,0.0,False
66,318,0.7224566101558206,False
67,356,0.008333333333333335,False
68,187,0.31748001998001996,False
69,142,0.0,False
70,186,0.0,False
71,138,0.0,False
72,36,0.0,False
73,37,0.48457819719759615,False
74,120,0.6070707532738784,False
75,139,0.0,False
76,852,0.3667979331780079,True
77,33,0.0,False
78,43,0.0,False
79,99,0.0,False
80,288,0.0,False
81,131,0.0,True
82,146,0.5903481788685068,False
83,204,0.0,False
84,150,0.0,False
85,38,0.0,False
86,43,0.0,False
87,47,0.0,False
88,32,0.0,False
89,93,0.0,False
90,93,0.0,False
91,282,0.0,False
92,251,0.0,False
93,251,0.0,False
94,130,0.0,False
95,53,0.5076115532101682,False
96,125,0.3208175543395523,False
97,50,0.0,False
98,106,0.0,False
99,34,0.0,False
100,66,0.0,False
101,40,0.0,False
102,140,0.0,False
103,84,0.0,False
104,39,0.0,False
105,34,0.0,False
106,38,0.0,False
107,149,0.0,False
108,761,0.8765032624062944,False
109,46,0.0,False
110,204,0.0,False
111,153,0.0,False
112,57,0.0,False
113,57,0.0,False
114,1379,1.0,True
115,174,0.0,True
116,416,0.48,True
117,40,0.0,False
118,90,0.0,True
119,102,0.0,False
120,84,0.0,False
121,702,0.8075068275994208,False
122,396,0.64,True
123,165,0.0,False
124,159,0.5213299906826798,False
125,332,0.06964135868902756,True
126,185,0.5879073755428826,False
127,68,0.19463989748845445,False
128,277,0.02,False
129,476,0.0,True
130,101,0.0,False
131,63,0.0,False
132,79,0.0,False
133,79,0.0,False
134,149,0.0,False
135,124,0.36096139222683865,True
136,119,0.0,True
137,1844,0.9,True
138,670,0.13,True
139,81,0.2751769517848451,False
140,64,0.0,True
141,119,0.0,True
142,46,0.0,True
143,81,0.2751769517848451,True
144,152,0.0,True
145,72,0.3540820649042709,True
146,88,0.6707636262082581,True
147,94,0.6653634260444722,True
148,83,0.0,True
149,74,0.6210719896288783,True
150,62,0.5423436253062726,True
151,85,0.4730979390357397,True
152,82,0.0,True
153,75,0.0,True
154,200,0.32,True
155,81,0.2751769517848451,True
156,49,0.0,False
157,64,0.0,True
158,87,0.0,False
159,79,0.0,True
160,72,0.028075012419274716,False
161,306,0.11,False
162,526,0.84,True
163,115,0.5169713027189503,False
164,123,0.0,False
165,284,0.02,True
166,103,0.0,True
167,29,0.0,False
168,215,0.0,True
169,71,0.0,True
170,36,0.0,False
171,82,0.0,True
172,51,0.0,False
173,173,0.5629430485721036,True
174,98,0.0,False
175,174,0.0,False
176,1302,0.34,True
177,61,0.0,False
178,47,0.0,False
179,192,0.0,False
180,414,0.0,True
181,104,0.0,False
182,1157,1.0,True
183,309,0.0,True
184,852,0.3667979331780079,True
185,400,0.05,True
186,45,0.0,False
187,738,0.12,True
188,129,0.0,True
189,256,0.0,True
190,44,0.0,False
191,452,0.01,False
192,209,0.0,False
193,112,0.681792719482687,False
194,140,0.0,True
195,81,0.2751769517848451,False
196,279,1.0,True
197,124,0.36096139222683865,True
198,68,0.19463989748845445,False
199,192,0.0,True
200,123,0.0,False
201,171,0.0,True
202,490,0.12,True
203,130,0.0,True
204,961,0.36,True
205,147,0.0,False
206,110,0.5079239494912682,False
207,128,0.5339662180164404,False
208,93,0.0,False
209,82,0.0,False
210,139,0.0,False
211,59,0.3861108839566158,False
212,117,0.0,True
213,418,1.0,False
214,77,0.0,False
215,70,0.0,True
216,152,0.0,False
217,250,0.4178197882530564,False
218,661,0.0,True
219,381,0.0,True
220,66,0.0,False
221,120,0.6070707532738784,False
