ID,Size,Predicted,Actual
0,137,0.0,False
1,252,0.0,True
2,536,0.36,True
3,81,0.06931873028931852,False
4,168,0.31,False
5,487,0.48,False
6,124,0.04,False
7,536,0.21,False
8,133,0.0,False
9,151,0.0,False
10,147,0.29242857142857137,False
11,114,0.05,False
12,227,0.27,False
13,401,0.63,False
14,204,0.0,False
15,50,0.0,False
16,162,0.19241666666666668,False
17,61,0.10916666666666666,False
18,163,0.16380555555555557,False
19,80,0.0,False
20,78,0.14325977288628725,False
21,448,0.01,True
22,179,0.0,False
23,136,0.0,False
24,167,0.6595714285714286,False
25,67,5.555555555555556E-4,False
26,137,0.0,False
27,145,0.006666666666666665,True
28,87,0.0,False
29,85,0.4310378787878788,False
30,178,0.0,False
31,75,0.0,False
32,208,0.0,True
33,57,0.003333333333333333,False
34,517,0.0,True
35,570,0.65,False
36,148,0.38979761904761917,False
37,173,0.02,False
38,147,0.29242857142857137,False
39,208,0.0,True
40,54,0.0,False
41,38,0.0,False
42,98,0.0,False
43,38,0.0,False
44,94,0.3191428571428571,False
45,126,0.0,False
46,78,0.14325977288628725,False
47,110,0.0,False
48,80,0.0,False
49,76,0.0,False
50,41,0.0,False
51,63,0.0,False
52,106,0.0,False
53,72,0.0,False
54,86,0.16183189033189033,False
55,55,0.08,False
56,63,0.0,False
57,409,0.74,False
58,66,0.0,False
59,50,0.0,False
60,39,0.0,False
61,37,0.0,False
62,80,0.0,False
63,321,0.66,False
64,118,0.0,False
65,605,0.1,False
66,140,0.0,False
67,361,0.04,False
68,362,0.0,False
69,187,0.5915,False
70,146,0.006666666666666665,False
71,186,0.22149999999999997,False
72,138,0.0,False
73,38,0.0,False
74,37,0.0,False
75,120,0.7392380952380952,False
76,139,0.0,False
77,852,0.0,False
78,33,0.0,False
79,43,0.0,False
80,99,0.0,False
81,288,0.82,False
82,131,0.0,False
83,146,0.006666666666666665,False
84,208,0.0,False
85,150,0.0,False
86,38,0.0,False
87,43,0.0,False
88,47,0.0,False
89,32,0.0,False
90,93,0.009166666666666667,False
91,113,0.0,False
92,282,0.05,False
93,251,0.0,False
94,251,0.0,False
95,130,0.0,False
96,53,0.0,False
97,125,0.0,False
98,50,0.02,False
99,106,0.0,False
100,34,0.0,False
101,66,0.1,False
102,40,0.0,False
103,140,0.04,False
104,84,0.36,False
105,39,0.0,False
106,34,0.0,False
107,38,0.0,False
108,149,0.23,False
109,762,0.29,False
110,46,0.0,False
111,204,0.23,False
112,153,0.29,False
113,57,0.003333333333333333,False
114,210,0.0,False
115,525,0.0,False
116,88,0.0,False
117,833,0.0,False
118,457,0.0,False
119,99,0.0,False
120,151,0.0,False
121,57,0.003333333333333333,False
122,1320,0.04,True
123,39,0.0,False
124,89,0.0,False
125,100,0.0,False
126,84,0.017333333333333333,False
127,662,0.32,False
128,68,0.07333800264063424,False
129,312,0.0,False
130,101,0.0,False
131,78,0.14325977288628725,True
132,79,0.0,False
133,125,0.0,True
134,113,0.0,False
135,1635,0.23,True
136,837,0.7,True
137,283,0.05,False
138,103,0.0,False
139,29,0.0,False
140,194,0.01,True
141,72,0.0,False
142,36,0.0,False
143,72,0.0,False
144,173,0.02,False
145,98,0.0,False
146,170,0.18600000000000003,False
147,1185,0.04,False
148,70,0.0,False
149,47,0.0,False
150,381,0.0,False
151,107,0.0,False
152,1817,0.43,True
153,45,0.0,False
154,512,0.0,True
155,132,0.0,False
156,232,0.4,False
157,37,0.0,False
158,108,0.0,False
159,111,0.12789971139971146,False
160,132,0.0,False
161,74,0.0,False
162,257,0.0,True
163,183,0.0,True
164,121,0.27384920634920634,False
165,166,0.20005952380952383,False
166,461,0.0,True
167,702,0.33,True
168,143,0.0,False
169,106,0.0,False
170,127,0.07788888888888891,False
171,92,0.0,False
172,82,0.0,False
173,138,0.0,False
174,117,0.0,False
175,76,0.0,False
176,249,0.87,False
177,604,0.09,True
178,296,0.03,True
179,66,0.0,False
180,120,0.7392380952380952,False
181,325,0.03,False
182,53,0.0,False
183,968,0.06,True
184,189,0.43766666666666665,True
185,27,0.0,False
186,837,0.54,True
187,169,0.6595714285714286,True
188,50,0.0,False
189,41,0.0,False
190,109,0.0,True
191,162,0.19241666666666668,False
192,718,0.6,True
193,53,0.0,False
194,274,0.03,False
195,42,0.0,False
196,31,0.0,False
197,36,0.0,False
198,176,0.0,False
199,375,0.27,True
200,506,0.65,True
201,92,0.0,False
202,34,0.0,False
203,142,0.0,False
204,85,0.4310378787878788,False
205,77,0.13788292750944187,False
206,146,0.006666666666666665,False
207,37,0.0,False
208,123,0.0,True
209,116,0.0,False
210,82,0.0,False
211,44,0.0,False
212,668,0.33,True
213,34,0.0,False
214,957,0.61,True
215,344,0.18482190032190032,True
216,150,0.11,False
217,68,0.07333800264063424,False
218,62,0.017023809523809524,False
219,45,0.0,False
220,33,0.0,False
221,79,0.0,False
222,38,0.0,False
223,33,0.0,False
224,69,0.0,True
225,272,0.09,False
226,57,0.003333333333333333,False
227,33,0.0,False
228,129,0.0,False
229,583,0.0,False
230,180,0.0,False
231,33,0.0,False
232,333,0.02,False
233,40,0.0,False
234,107,0.0,False
235,146,0.006666666666666665,True
236,38,0.0,False
237,192,0.03,False
238,294,0.03,False
239,109,0.0,False
240,38,0.0,False
241,312,0.0,False
