ID,Size,Predicted,Actual
0,126,0.0,False
1,22,0.0,False
2,75,0.0,False
3,131,0.0,False
4,223,0.0,False
5,40,0.0,False
6,381,0.01,False
7,46,0.0,False
8,26,0.0,False
9,66,0.0,False
10,95,0.0,False
11,33,0.0,False
12,103,0.0,False
13,219,0.00782608695652174,False
14,328,0.005333333333333333,False
15,59,0.8084219139993134,False
16,376,0.891036075036075,False
17,33,0.0,False
18,36,0.0,False
19,44,0.0,False
20,70,0.0,False
21,69,0.8931614053459179,False
22,31,0.0,False
23,27,0.0,False
24,33,0.0,False
25,27,0.0,False
26,27,0.0,False
27,40,0.0,False
28,60,0.0,False
29,69,0.8931614053459179,False
30,85,0.7338088291751221,False
31,85,0.7338088291751221,False
32,86,0.6409107550086652,False
33,50,0.0,False
34,125,0.5639186700206957,False
35,151,0.0,False
36,242,0.9461325610641433,False
37,47,0.0,False
38,72,0.3368581956023874,False
39,51,0.0,False
40,51,0.0,False
41,106,0.0,False
42,87,0.0,False
43,80,0.0,False
44,76,0.0,False
45,41,0.0,False
46,63,0.0,False
47,55,0.0,False
48,106,0.0,False
49,72,0.3368581956023874,False
50,86,0.6409107550086652,False
51,55,0.0,False
52,135,0.0,False
53,63,0.0,False
54,412,0.0,False
55,533,1.0,False
56,67,0.0,False
57,50,0.0,False
58,39,0.0,False
59,88,0.0,False
60,37,0.0,False
61,74,0.6304757602601843,False
62,79,0.0,False
63,321,0.01,False
64,631,0.37,False
65,140,0.0,False
66,318,0.99,False
67,356,0.0,False
68,187,0.6692690494919599,False
69,142,0.0,False
70,186,0.05921939498410086,False
71,138,0.0,False
72,36,0.0,False
73,37,0.0,False
74,120,0.5331078726703701,False
75,139,0.0,False
76,852,0.0,False
77,33,0.0,False
78,43,0.0,False
79,99,0.0,False
80,288,0.0,False
81,131,0.0,True
82,146,0.8055126960755129,False
83,204,0.0,False
84,150,0.0,False
85,38,0.0,False
86,43,0.0,False
87,47,0.0,False
88,32,0.0,False
89,93,0.0,False
90,93,0.0,False
91,282,0.0,False
92,251,0.0,False
93,251,0.0,False
94,130,0.0,False
95,53,0.0,False
96,125,0.5639186700206957,False
97,50,0.0,False
98,106,0.0,False
99,34,0.0,False
100,66,0.0,False
101,40,0.0,False
102,140,0.0,False
103,84,0.0,False
104,39,0.0,False
105,34,0.0,False
106,38,0.0,False
107,149,0.0,False
108,761,0.06,False
109,46,0.0,False
110,204,0.0,False
111,153,0.02,False
112,57,0.0,False
113,57,0.0,False
114,1307,0.1,True
115,170,0.681552636113046,True
116,339,0.17,True
117,40,0.0,False
118,90,0.0,True
119,100,0.0,False
120,84,0.0,False
121,699,0.36,True
122,389,0.0,True
123,165,0.06,False
124,159,0.7035862748362749,False
125,305,1.0,True
126,185,0.0,True
127,68,0.1942625935188561,False
128,277,0.3,False
129,476,0.0,True
130,101,0.0,False
131,60,0.0,True
132,79,0.0,False
133,79,0.0,False
134,149,0.0,False
135,124,0.8014539238360585,True
136,119,0.030177807486631018,False
137,1746,1.0,True
138,875,0.34,True
139,87,0.0,False
140,79,0.01,True
141,61,0.007619047619047619,False
142,101,0.0,False
143,355,0.0,True
144,284,0.0,False
145,103,0.0,False
146,29,0.0,False
147,215,0.18807692307692306,True
148,71,0.31523974124389986,True
149,36,0.0,False
150,82,0.0,False
151,51,0.0,False
152,173,0.0,True
153,98,0.0,False
154,174,0.0,False
155,1311,0.59,True
156,61,0.007619047619047619,False
157,47,0.0,False
158,192,0.0,False
159,422,0.0,True
160,104,0.0,False
161,1156,0.72,True
162,326,0.27,True
163,851,0.25,True
164,415,0.75,False
165,45,0.0,False
166,716,0.38,True
167,129,0.0,False
168,256,0.9842857142857143,True
169,37,0.0,True
170,452,0.33,False
171,139,0.0,False
172,112,0.7814181861386104,False
173,132,0.0,True
174,81,0.33878076337550267,False
175,274,0.0,True
176,68,0.1942625935188561,False
177,190,0.753198051948052,True
178,123,0.0733977978543196,False
179,171,0.0,False
180,483,0.46,True
181,127,0.0,False
182,921,0.45,True
183,143,0.0,False
184,106,0.06,False
185,123,0.0733977978543196,False
186,93,0.0,False
187,82,0.0,False
188,139,0.0,False
189,59,0.8084219139993134,False
190,117,0.0,False
191,418,0.0,True
192,77,0.012323390894819465,False
193,70,0.0,False
194,148,0.406315748976723,False
195,250,1.0,False
196,660,0.0,False
197,325,0.06307448107448108,False
198,66,0.0,False
199,120,0.5331078726703701,False
200,326,0.005333333333333333,False
201,54,0.0,False
202,972,0.02,True
203,185,0.0,True
204,27,0.0,False
205,890,0.1,True
206,167,0.0,True
207,50,0.0,False
208,41,0.0,False
209,113,0.0,True
210,160,0.91025,False
211,827,0.4,True
212,53,0.0,True
213,293,0.28,False
214,42,0.0,False
215,31,0.0,False
216,36,0.0,False
217,173,0.0,True
218,481,0.48,True
219,611,0.0,True
220,96,0.0,False
221,34,0.0,False
222,141,0.0,True
223,79,0.0,False
224,77,0.012323390894819465,False
225,134,0.0,False
226,37,0.0,False
227,127,0.0,True
