ID,Size,Predicted,Actual
0,126,0.0,False
1,22,0.0,False
2,75,0.0,False
3,131,0.0,False
4,223,0.0,False
5,40,0.0,False
6,381,0.0,True
7,46,0.0,False
8,26,0.0,False
9,66,0.0,False
10,95,0.0,False
11,33,0.0,False
12,103,0.0,False
13,219,0.0,False
14,328,0.0,True
15,59,0.05310947798369053,False
16,376,0.14297125097125096,False
17,33,0.0,False
18,36,0.0,False
19,44,0.0,False
20,70,0.0,False
21,69,0.3149694366263602,False
22,31,0.0,False
23,27,0.0,False
24,33,0.0,False
25,27,0.0,False
26,27,0.0,False
27,40,0.0,False
28,60,0.11466983179364157,False
29,69,0.3149694366263602,False
30,85,0.07098856521589215,False
31,85,0.07098856521589215,False
32,86,0.03798467497327188,True
33,50,0.0,True
34,125,0.04138800081623952,False
35,151,0.0,False
36,242,0.13098051948051948,False
37,47,0.0,False
38,72,0.03868663077077256,False
39,51,0.0,False
40,51,0.0,False
41,106,0.0,True
42,87,0.0,False
43,80,0.0,False
44,76,0.0,False
45,41,0.0,False
46,63,0.0,False
47,55,0.0,False
48,106,0.0,False
49,72,0.03868663077077256,False
50,86,0.03798467497327188,False
51,55,0.0,False
52,135,0.0,False
53,63,0.0,False
54,412,0.0,False
55,533,0.0,False
56,71,0.03,False
57,50,0.0,False
58,39,0.0,False
59,88,0.14130448369649357,False
60,37,0.07078476473835121,False
61,74,0.06322955915847958,False
62,79,0.0,False
63,321,0.0,False
64,631,0.0,False
65,140,0.0,False
66,318,0.14243398268398266,False
67,356,0.0,False
68,187,0.07986650376627157,False
69,143,0.0,False
70,186,0.0,False
71,138,0.0,False
72,36,0.0,False
73,37,0.07078476473835121,False
74,120,0.1535981995573657,False
75,139,0.0,False
76,885,0.26,False
77,33,0.0,False
78,43,0.0,False
79,99,0.0,False
80,288,0.0,False
81,126,0.11,True
82,146,0.1441138711992257,False
83,204,0.0,False
84,150,0.0,False
85,38,0.0,False
86,43,0.0,False
87,47,0.0,False
88,32,0.0,False
89,93,0.0,False
90,93,0.0,False
91,282,0.0,True
92,251,0.0,False
93,251,0.0,False
94,130,0.0,False
95,53,0.08866623814772784,False
96,125,0.04138800081623952,False
97,50,0.0,False
98,106,0.0,False
99,34,0.0,False
100,66,0.0,False
101,40,0.0,False
102,140,0.0,False
103,84,0.0,False
104,39,0.0,False
105,34,0.0,False
106,38,0.0,False
107,149,0.0,False
108,761,0.3185420412920412,False
109,46,0.0,False
110,204,0.0,False
111,153,0.0,False
112,57,0.0,False
113,67,0.03,False
114,1560,0.87,True
115,174,0.0,True
116,427,0.18,False
117,40,0.0,False
118,92,0.04,False
119,102,0.0,False
120,84,0.0,False
121,790,0.68,False
122,396,0.11,True
123,177,0.0,False
124,167,0.02,True
125,351,0.09,False
126,205,0.12,False
127,68,0.019664289268837256,False
128,277,0.0,False
129,476,0.16,True
130,101,0.0,False
131,68,0.03,False
132,79,0.0,False
133,70,0.0,False
134,79,0.0,False
135,186,0.06,False
136,124,0.05908719163346638,True
137,128,0.05,True
138,2497,0.38,True
139,677,0.89,True
140,81,0.02717533874580332,False
141,64,0.0,True
142,119,0.0,True
143,46,0.0,True
144,86,0.1,True
145,152,0.0,True
146,72,0.03868663077077256,True
147,88,0.14130448369649357,True
148,94,0.10060496284760993,True
149,83,0.0,True
150,75,0.0,True
151,74,0.06322955915847958,True
152,62,0.10022913034677743,True
153,85,0.07098856521589215,True
154,157,0.3,True
155,82,0.0,True
156,75,0.0,True
157,200,0.0,True
158,81,0.02717533874580332,True
159,49,0.0,False
160,64,0.0,True
161,90,0.02,False
162,79,0.0,True
163,72,0.03868663077077256,True
164,319,0.34,True
165,584,0.66,True
166,115,0.0694593666119107,False
167,123,0.0,False
168,293,0.06,False
169,103,0.07,False
170,63,0.0325,False
171,29,0.0,False
172,215,0.1,True
173,71,0.0,True
174,36,0.0,False
175,82,0.0,True
176,51,0.0,False
177,173,0.08042076280272875,True
178,98,0.0,False
179,174,0.0,False
180,1382,0.8,True
181,61,0.0,False
182,47,0.0,False
183,192,0.0,False
184,179,0.0,True
185,457,0.55,True
186,104,0.0,False
187,1181,0.68,True
188,941,0.37,True
189,856,0.87,True
190,412,0.43,True
191,45,0.0,True
192,980,0.73,True
193,129,0.0,True
194,61,0.018706349206349206,True
195,284,0.09,True
196,44,0.0,False
197,461,0.18,False
198,215,0.41,False
199,112,0.1673836760934284,False
200,140,0.0,True
201,128,0.03,False
202,265,0.69,True
203,128,0.01,False
204,68,0.019664289268837256,False
205,216,0.08,True
206,125,0.01,False
207,122,0.162,False
208,48,0.03,False
209,187,0.05,True
210,240,0.29,True
211,603,0.29,True
212,169,0.36,False
213,1025,0.93,True
214,147,0.0,False
215,110,0.07012165930941675,False
216,134,0.01,False
217,93,0.0,False
218,82,0.0,False
219,139,0.0,False
220,59,0.05310947798369053,False
221,117,0.0,True
222,418,0.3747136197136196,False
223,77,0.0,False
224,79,0.13,True
225,152,0.0,False
226,250,0.13709149184149189,False
